id,Election_Data,Electoral_Votes,Election
27,"{""Candidate"": [""William McKinley"", ""William J. Bryan""], ""Party"": [""Republican"", ""Democratic-Populist""], ""Electoral Votes"": [271, 176]}","[271, 176]",1896
28,"{""Candidate"": [""William McKinley (I)"", ""William J. Bryan""], ""Party"": [""Republican"", ""Democratic-Populist""], ""Electoral Votes"": [292, 155]}","[292, 155]",1900
29,"{""Candidate"": [""Theodore Roosevelt (I)"", ""Alton B. Parker"", ""Eugene Debs""], ""Party"": [""Republican"", ""Democratic"", ""Socialist""], ""Electoral Votes"": [336, 140, 0]}","[336, 140, 0]",1904
30,"{""Candidate"": [""William H. Taft"", ""William J. Bryan""], ""Party"": [""Republican"", ""Democratic""], ""Electoral Votes"": [321, 162]}","[321, 162]",1908
31,"{""Candidate"": [""Woodrow Wilson"", ""Theodore Roosevelt"", ""William H. Taft (I)"", ""Eugene Debs""], ""Party"": [""Democratic"", ""Progressive"", ""Republican"", ""Socialist""], ""Electoral Votes"": [435, 88, 8, 0]}","[435, 88, 8, 0]",1912
32,"{""Candidate"": [""Woodrow Wilson (I)"", ""Charles E. Hughes"", ""Allan Benson""], ""Party"": [""Democratic"", ""Republican"", ""Socialist""], ""Electoral Votes"": [277, 254, 0]}","[277, 254, 0]",1916
33,"{""Candidate"": [""Warren G. Harding"", ""James M. Cox"", ""Eugene Debs""], ""Party"": [""Republican"", ""Democratic"", ""Socialist""], ""Electoral Votes"": [404, 127, 0]}","[404, 127, 0]",1920
34,"{""Candidate"": [""Calvin Coolidge (I)"", ""John W. Davis"", ""Robert M. LaFollette""], ""Party"": [""Republican"", ""Democratic"", ""Progressive""], ""Electoral Votes"": [382, 136, 13]}","[382, 136, 13]",1924
35,"{""Candidate"": [""Herbert C. Hoover"", ""Alfred E. Smith""], ""Party"": [""Republican"", ""Democratic""], ""Electoral Votes"": [444, 87]}","[444, 87]",1928
36,"{""Candidate"": [""Franklin D. Roosevelt"", ""Herbert C. Hoover (I)""], ""Party"": [""Democratic"", ""Republican""], ""Electoral Votes"": [472, 59]}","[472, 59]",1932
37,"{""Candidate"": [""Franklin D. Roosevelt (I)"", ""Alfred M. Landon""], ""Party"": [""Democratic"", ""Republican""], ""Electoral Votes"": [523, 8]}","[523, 8]",1936
38,"{""Candidate"": [""Franklin D. Roosevelt (I)"", ""Wendell L. Willkie""], ""Party"": [""Democratic"", ""Republican""], ""Electoral Votes"": [449, 82]}","[449, 82]",1940
39,"{""Candidate"": [""Franklin D. Roosevelt (I)"", ""Thomas E. Dewey""], ""Party"": [""Democratic"", ""Republican""], ""Electoral Votes"": [432, 99]}","[432, 99]",1944
40,"{""Candidate"": [""Harry S. Truman (I)"", ""Thomas E. Dewey"", ""J. Strom Thurmond"", ""Henry Wallace""], ""Party"": [""Democratic"", ""Republican"", ""States' Rights Democratic"", ""Progressive""], ""Electoral Votes"": [304, 189, 38, 0]}","[304, 189, 38, 0]",1948
41,"{""Candidate"": [""Dwight D. Eisenhower"", ""Adlai Stevenson""], ""Party"": [""Republican"", ""Democratic""], ""Electoral Votes"": [442, 89]}","[442, 89]",1952
42,"{""Candidate"": [""Dwight D. Eisenhower (I)"", ""Adlai Stevenson"", ""Other: See Election Facts Below""], ""Party"": [""Republican"", ""Democratic"", """"], ""Electoral Votes"": [457, 74]}","[457, 74]",1956
